epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4481,1.60059,3.32487,1.11708,0.78311,0.65406,0.73177,0.39916,1.52692,3.15549,1.11605,0.00687222,0.00687222,0.00687222
40,4578.26,1.60185,3.34439,1.11942,0.76819,0.65774,0.73144,0.39862,1.53854,3.15381,1.11932,0.00672675,0.00672675,0.00672675
41,4675.02,1.59572,3.34056,1.11401,0.78217,0.65483,0.7338,0.40215,1.5239,3.12769,1.11169,0.00657963,0.00657963,0.00657963
42,4772.27,1.58937,3.28378,1.11299,0.78838,0.65214,0.73523,0.4048,1.51876,3.10847,1.11009,0.00643101,0.00643101,0.00643101
43,4866.86,1.58565,3.2671,1.10736,0.78366,0.66325,0.74097,0.40642,1.52706,3.09065,1.11496,0.00628101,0.00628101,0.00628101
44,4962.78,1.57719,3.26774,1.10888,0.79296,0.66328,0.74206,0.40938,1.52445,3.07389,1.11131,0.00612981,0.00612981,0.00612981
45,5073.28,1.58025,3.23441,1.10704,0.79337,0.66493,0.74413,0.41149,1.5122,3.06779,1.10432,0.00597754,0.00597754,0.00597754
46,5218.69,1.57237,3.22628,1.10568,0.78405,0.66903,0.74608,0.41199,1.51332,3.07112,1.10835,0.00582435,0.00582435,0.00582435
47,5360.9,1.5713,3.20873,1.1052,0.78563,0.66735,0.74654,0.41375,1.51413,3.03064,1.10408,0.0056704,0.0056704,0.0056704
48,5506.01,1.56455,3.19095,1.1037,0.78773,0.67632,0.7517,0.41601,1.51527,3.01165,1.10584,0.00551584,0.00551584,0.00551584
49,5649.17,1.56553,3.17443,1.10455,0.79762,0.6779,0.75549,0.42013,1.50296,3.01506,1.10138,0.00536081,0.00536081,0.00536081
50,5789.69,1.56523,3.14854,1.10128,0.79468,0.6783,0.7559,0.41983,1.5055,3.01213,1.10388,0.00520548,0.00520548,0.00520548
51,5925.48,1.56044,3.13773,1.10223,0.80568,0.67379,0.75986,0.42238,1.50906,2.9823,1.1049,0.00505,0.00505,0.00505
52,6021.65,1.55541,3.12464,1.09734,0.79919,0.68338,0.76379,0.42645,1.50454,2.97893,1.10094,0.00489452,0.00489452,0.00489452
53,6117.02,1.55579,3.10337,1.09921,0.79928,0.67694,0.76298,0.42606,1.50253,2.94502,1.09899,0.00473919,0.00473919,0.00473919
54,6213.01,1.54401,3.09108,1.09576,0.80111,0.68565,0.76263,0.42544,1.50322,2.94396,1.09718,0.00458416,0.00458416,0.00458416
55,6359.02,1.54651,3.0754,1.09576,0.80236,0.68187,0.76588,0.42759,1.50016,2.93786,1.10043,0.0044296,0.0044296,0.0044296
56,6499.36,1.54196,3.05772,1.09238,0.79713,0.68651,0.76438,0.42635,1.49983,2.9468,1.09769,0.00427565,0.00427565,0.00427565
57,6640.33,1.53802,3.05416,1.09107,0.79534,0.69117,0.76687,0.43106,1.49645,2.93261,1.09817,0.00412246,0.00412246,0.00412246
58,6782.92,1.53702,3.02609,1.08888,0.79272,0.69314,0.76859,0.43024,1.4952,2.93118,1.09707,0.00397019,0.00397019,0.00397019
59,6927.62,1.54092,3.03994,1.09299,0.7951,0.69472,0.76981,0.43104,1.49408,2.91233,1.09501,0.00381899,0.00381899,0.00381899
60,7068.33,1.53395,2.99937,1.09105,0.80865,0.68662,0.77155,0.43246,1.49613,2.90868,1.09674,0.00366899,0.00366899,0.00366899
61,7171.51,1.52752,3.00553,1.08717,0.80272,0.69582,0.77349,0.43408,1.496,2.89843,1.09822,0.00352037,0.00352037,0.00352037
62,7266.05,1.52955,2.97835,1.0863,0.80493,0.69132,0.77379,0.43416,1.4936,2.88892,1.096,0.00337325,0.00337325,0.00337325
63,7361.67,1.52505,2.97436,1.08714,0.80655,0.69155,0.77479,0.43469,1.49253,2.88222,1.09575,0.00322778,0.00322778,0.00322778
64,7489.19,1.52562,2.94477,1.08603,0.80293,0.69757,0.77429,0.43529,1.49277,2.87957,1.09543,0.00308412,0.00308412,0.00308412
65,7599.67,1.52254,2.93932,1.08278,0.81,0.68918,0.77327,0.43553,1.49245,2.87999,1.09505,0.00294239,0.00294239,0.00294239
66,7693.71,1.51774,2.92175,1.08484,0.80916,0.69048,0.77461,0.43576,1.49054,2.86586,1.09398,0.00280275,0.00280275,0.00280275
67,7788.29,1.51514,2.89807,1.08195,0.80247,0.69153,0.77373,0.43586,1.49225,2.86738,1.09481,0.00266532,0.00266532,0.00266532
68,7882.45,1.51127,2.90182,1.08308,0.80642,0.6978,0.77533,0.43666,1.49347,2.8728,1.09677,0.00253024,0.00253024,0.00253024
69,7975.76,1.50998,2.88187,1.0803,0.80934,0.69471,0.77681,0.43915,1.48946,2.86268,1.09434,0.00239766,0.00239766,0.00239766
70,8072.01,1.51284,2.88657,1.07999,0.8183,0.69316,0.77642,0.43923,1.48887,2.86239,1.09319,0.00226769,0.00226769,0.00226769
71,8165.05,1.50677,2.88061,1.08054,0.81592,0.69471,0.77855,0.44067,1.49,2.85499,1.09331,0.00214046,0.00214046,0.00214046
72,8257.95,1.5035,2.8574,1.07776,0.80048,0.70485,0.77866,0.44077,1.48993,2.85398,1.09356,0.00201611,0.00201611,0.00201611
73,8352.41,1.50418,2.85122,1.07872,0.80728,0.70216,0.77904,0.44049,1.48987,2.84771,1.09409,0.00189475,0.00189475,0.00189475
74,8444.45,1.49941,2.82907,1.07736,0.80592,0.70263,0.77936,0.44131,1.48806,2.84607,1.09359,0.00177651,0.00177651,0.00177651
75,8537.82,1.49902,2.81114,1.0771,0.81248,0.70337,0.78084,0.44126,1.49123,2.84269,1.09584,0.00166149,0.00166149,0.00166149
76,8630.8,1.49199,2.81458,1.07525,0.81131,0.70149,0.77985,0.44098,1.48963,2.83045,1.09375,0.00154982,0.00154982,0.00154982
77,8725.4,1.49669,2.81529,1.07561,0.8133,0.702,0.78066,0.44103,1.49093,2.83296,1.09428,0.00144161,0.00144161,0.00144161
78,8819.54,1.48809,2.79999,1.07334,0.8114,0.70348,0.78133,0.44298,1.48771,2.82858,1.09259,0.00133695,0.00133695,0.00133695
79,8914.44,1.48904,2.80426,1.07061,0.80723,0.70587,0.78139,0.44321,1.4885,2.82762,1.09297,0.00123596,0.00123596,0.00123596
80,9008.74,1.49324,2.78997,1.07532,0.80869,0.70564,0.78147,0.4432,1.48835,2.82706,1.09404,0.00113873,0.00113873,0.00113873
81,9103.66,1.48764,2.76732,1.07391,0.80852,0.70415,0.78246,0.44317,1.4902,2.82513,1.09432,0.00104537,0.00104537,0.00104537
82,9197.61,1.48526,2.75501,1.07137,0.81219,0.70407,0.78202,0.44278,1.4904,2.82173,1.09528,0.000955951,0.000955951,0.000955951
83,9292.28,1.48475,2.75651,1.07319,0.81014,0.70424,0.78307,0.4429,1.49146,2.82242,1.09574,0.000870577,0.000870577,0.000870577
84,9385.14,1.49042,2.75188,1.07176,0.80386,0.70816,0.78237,0.44292,1.49219,2.82092,1.09565,0.000789327,0.000789327,0.000789327
85,9478.95,1.47794,2.72223,1.07026,0.80547,0.70851,0.78365,0.44365,1.49009,2.81489,1.09502,0.000712282,0.000712282,0.000712282
86,9574.36,1.48019,2.73251,1.06832,0.81056,0.70469,0.78368,0.44373,1.48816,2.81434,1.09381,0.000639518,0.000639518,0.000639518
87,9681.38,1.48032,2.73565,1.07095,0.81463,0.70435,0.78376,0.44385,1.48758,2.81163,1.09283,0.000571106,0.000571106,0.000571106
88,9782.54,1.48473,2.72877,1.06812,0.81525,0.70426,0.78354,0.44366,1.48802,2.81288,1.09361,0.000507115,0.000507115,0.000507115
89,9878.47,1.47837,2.71674,1.06738,0.81238,0.70431,0.7826,0.44333,1.48979,2.81422,1.09455,0.000447606,0.000447606,0.000447606
90,9974.77,1.4768,2.72342,1.06546,0.81401,0.70379,0.7828,0.44341,1.48925,2.81329,1.09482,0.00039264,0.00039264,0.00039264
91,10083.4,1.4685,2.6817,1.08413,0.81297,0.7042,0.78069,0.44019,1.49392,2.82989,1.09644,0.00034227,0.00034227,0.00034227
92,10173.7,1.45287,2.58978,1.07597,0.81418,0.70284,0.78038,0.43978,1.49602,2.83178,1.09695,0.000296546,0.000296546,0.000296546
93,10263.2,1.45317,2.58114,1.07597,0.81474,0.70147,0.77949,0.43974,1.4971,2.83071,1.09765,0.000255513,0.000255513,0.000255513
94,10354.1,1.45519,2.58332,1.07711,0.81126,0.7021,0.77963,0.4399,1.49677,2.82581,1.09752,0.000219212,0.000219212,0.000219212
95,10445.6,1.45305,2.57447,1.07571,0.81152,0.70104,0.77927,0.43941,1.49695,2.82604,1.09763,0.000187678,0.000187678,0.000187678
96,10549.1,1.449,2.5731,1.07621,0.80937,0.70148,0.77935,0.4397,1.4967,2.82425,1.09755,0.000160943,0.000160943,0.000160943
97,10640,1.44659,2.55991,1.07427,0.81352,0.70006,0.77979,0.43998,1.49692,2.82008,1.09753,0.000139032,0.000139032,0.000139032
98,10730.8,1.45061,2.56035,1.07635,0.81097,0.70291,0.78029,0.44009,1.497,2.82001,1.09739,0.000121968,0.000121968,0.000121968
99,10820.5,1.44749,2.55706,1.07121,0.81193,0.70326,0.78042,0.44007,1.49655,2.81765,1.09706,0.000109768,0.000109768,0.000109768
100,10914.1,1.4444,2.55138,1.07619,0.81223,0.70359,0.78093,0.44048,1.49659,2.81537,1.09724,0.000102443,0.000102443,0.000102443
